idConfiguration,ACK,BIB,LONG_AFFILIATION,VARY_LATEX,stretch,vspace_bib,nbPages,sizePDF
65,"false","true","false","true",0.99,4.209922744328402,4,216
66,"false","true","false","true",0.99,1.4965640036609322,4,216
67,"false","true","false","true",0.99,4.474553544848957,4,216
68,"false","true","false","true",0.99,1.4271561398674948,4,216
69,"false","true","false","true",0.99,3.001938625594332,4,216
7,"true","true","true","true",0.99,1.9093771422709183,5,220
70,"false","true","false","true",0.99,2.616464340099856,4,216
71,"false","true","false","true",0.99,2.975516405102239,4,216
72,"false","true","false","true",0.99,0.9255416428130409,4,216
73,"false","true","false","true",0.99,1.0063976340558551,4,216
74,"false","true","false","true",0.99,4.97046435905247,4,216
75,"false","true","false","true",0.99,2.9587172237520454,4,216
76,"false","true","false","true",0.99,0.7938263778971133,4,216
77,"false","true","false","true",0.99,4.421609599785365,4,216
78,"false","true","false","true",0.99,1.1813510232553974,4,216
79,"false","true","false","true",0.99,2.2558451268337802,4,216
8,"true","true","true","true",0.99,2.6239870780296903,4,220
80,"false","true","false","true",0.99,0.17371031093183498,4,216
81,"false","true","true","true",0.99,2.7095446694558674,4,216
82,"false","true","true","true",0.99,4.6681019648594635,4,216
83,"false","true","true","true",0.99,4.537485103606668,4,216
84,"false","true","true","true",0.99,1.802467369005204,4,216
85,"false","true","true","true",0.99,0.20306807799448268,4,216
86,"false","true","true","true",0.99,1.0150922022133924,4,216
87,"false","true","true","true",0.99,4.787270225443557,4,216
88,"false","true","true","true",0.99,1.7769377827295045,4,216
89,"false","true","true","true",0.99,4.444523673786206,4,216
9,"true","true","true","true",0.99,0.15337176198216007,5,220
90,"false","true","true","true",0.99,1.6861562667082974,4,216
91,"false","true","true","true",0.99,1.499247535672955,4,216
92,"false","true","true","true",0.99,1.942506941392062,4,216
93,"false","true","true","true",0.99,3.8086955146350214,4,216
94,"false","true","true","true",0.99,1.5587934609816334,4,216
95,"false","true","true","true",0.99,4.299583597829534,4,216
96,"false","true","true","true",0.99,2.0791771039196716,4,220
97,"false","true","true","true",0.99,3.936279813003414,4,216
98,"false","true","true","true",0.99,2.543307403921008,4,216
99,"false","true","true","true",0.99,1.1797899661504792,4,216
